Issue ID,Issue Type,Summary,Epic Name,Epic Link,Parent ID,Story Points,Priority,Labels,Description
1000,Sub-task,Agent definition schema,,,100,2,High,"mvp,platform","JSON schema for role/prompt/tools/model-policy/guardrails with semantic versioning. Complexity: M."
1001,Sub-task,Agent registry service + persistence,,,100,5,High,"mvp,platform","Postgres-backed CRUD, version history, soft delete. Complexity: M."
1002,Sub-task,Prompt template engine,,,100,5,Medium,"mvp,platform","Variable interpolation, partials, context injection. Complexity: M."
1003,Sub-task,Registry API endpoints,,,100,2,Medium,"mvp,platform","POST/GET/PUT /agents, validation, OpenAPI. Complexity: S."
1004,Sub-task,Provider adapters (Anthropic primary),,,101,5,Highest,"mvp,platform","Normalize messages, tool-use, streaming for Anthropic. Complexity: M."
1005,Sub-task,Routing policy engine,,,101,5,High,"mvp,platform","Map task class to model tier (Opus/Sonnet/Haiku) with cost ceilings. Complexity: M."
1006,Sub-task,Retry/fallback/timeout middleware,,,101,5,High,"mvp,platform","Exponential backoff, circuit breaker, provider failover. Complexity: M."
1007,Sub-task,Token & cost meter,,,101,2,High,"mvp,platform","Per-call usage capture, write to usage table. Complexity: S."
1008,Sub-task,Core agent loop,,,102,8,Highest,"mvp,platform","Tool-use orchestration, observation handling, stop conditions. Complexity: L."
1009,Sub-task,Budget & guardrail enforcement,,,102,5,High,"mvp,platform","Max steps, token/cost ceiling, loop detection. Complexity: M."
1010,Sub-task,Structured output parser/validator,,,102,5,High,"mvp,platform","Coerce + validate final outputs to schema. Complexity: M."
1011,Sub-task,Step event emitter,,,102,2,Medium,"mvp,platform","Emit agent.step.* events to the bus. Complexity: S."
1012,Sub-task,Working-memory store,,,103,2,Medium,"mvp,platform","Redis-backed per-run scratchpad. Complexity: S."
1013,Sub-task,Vector store integration,,,103,5,Medium,"mvp,platform","pgvector; embeddings pipeline. Complexity: M."
1014,Sub-task,Retrieval API + ranking,,,103,5,Medium,"mvp,platform","Hybrid semantic + keyword retrieval with citations. Complexity: M."
1015,Sub-task,Trace schema + writer,,,104,5,High,"mvp,platform","Structured spans for steps/tool-calls/model-calls. Complexity: M."
1016,Sub-task,OpenTelemetry instrumentation,,,104,5,High,"mvp,platform","Propagate trace context across services. Complexity: M."
1017,Sub-task,Cost rollup jobs,,,104,2,Medium,"mvp,platform","Aggregate per run/project/org/day. Complexity: S."
1018,Sub-task,Workflow DSL + validator,,,110,5,High,"mvp,workflow","Schema for steps/edges/conditions. Complexity: M."
1019,Sub-task,DAG compiler/scheduler,,,110,8,High,"mvp,workflow","Topological execution, parallel branches. Complexity: L."
1020,Sub-task,Workflow versioning,,,110,2,Medium,"mvp,workflow","Pin definition version per run. Complexity: S."
1021,Sub-task,Temporal integration (workflows + activities),,,111,8,Highest,"mvp,workflow","Map agent steps to activities. Complexity: L. High-risk spike candidate."
1022,Sub-task,Idempotency keys for side effects,,,111,5,High,"mvp,workflow","Dedupe tool/external actions. Complexity: M."
1023,Sub-task,State persistence + recovery tests,,,111,5,High,"mvp,workflow","Chaos restart tests. Complexity: M."
1024,Sub-task,Pause/await-signal primitive,,,112,5,Highest,"mvp,workflow","Durable wait + timeout escalation. Complexity: M."
1025,Sub-task,Approval request emitter,,,112,2,High,"mvp,workflow","Publish to Approval service. Complexity: S."
1026,Sub-task,Resume-on-decision handler,,,112,2,High,"mvp,workflow","Inject decision into workflow state. Complexity: S."
1027,Sub-task,Per-step retry policy,,,113,2,Medium,"mvp,workflow","Backoff, max attempts, retryable-error classification. Complexity: S."
1028,Sub-task,Run lifecycle API,,,114,5,High,"mvp,workflow","Start/cancel/retry/get. Complexity: M."
1029,Sub-task,Live status stream (SSE/WS),,,114,5,High,"mvp,workflow","Push step transitions. Complexity: M."
1030,Sub-task,MCP client implementation,,,120,8,Highest,"mvp,mcp","Handshake, tool discovery, invocation. Complexity: L."
1031,Sub-task,Server registry + health checks,,,120,5,High,"mvp,mcp","Register/enable/disable; liveness. Complexity: M."
1032,Sub-task,Tool catalog sync,,,120,2,Medium,"mvp,mcp","Expose tool schemas to runtime. Complexity: S."
1033,Sub-task,Policy model + evaluator,,,121,5,High,"mvp,mcp","RBAC/ABAC over tools. Complexity: M."
1034,Sub-task,Rate limiting + quotas,,,121,2,Medium,"mvp,mcp","Per tool/org. Complexity: S."
1035,Sub-task,Approval-gated tool routing,,,121,2,High,"mvp,mcp","Flag high-risk tools to Approval Service. Complexity: S."
1036,Sub-task,Repo read/search tools,,,122,5,High,"mvp,mcp,github","File read, tree, search. Complexity: M."
1037,Sub-task,Branch/commit/push tools,,,122,5,High,"mvp,mcp,github","Write operations via app token. Complexity: M."
1038,Sub-task,PR + review-comment tools,,,122,5,High,"mvp,mcp,github","Create PR, comment, request review. Complexity: M."
1039,Sub-task,GitHub App auth + installation tokens,,,122,5,Highest,"mvp,mcp,github","Short-lived tokens, per-repo scope. Complexity: M."
1040,Sub-task,Secrets manager integration,,,123,5,Highest,"mvp,mcp,security","AWS Secrets Manager/KMS. Complexity: M."
1041,Sub-task,Just-in-time credential injection,,,123,5,Highest,"mvp,mcp,security","Resolve at execution boundary. Complexity: M."
1042,Sub-task,Trace/log redaction,,,123,2,High,"mvp,mcp,security","Scrub secrets from all telemetry. Complexity: S."
1043,Sub-task,Requirement extraction prompt + schema,,,130,5,High,"mvp,agents","Structured spec output. Complexity: M."
1044,Sub-task,Ambiguity detection + question generation,,,130,5,Medium,"mvp,agents","Confidence thresholds. Complexity: M."
1045,Sub-task,Clarification loop integration,,,130,2,Medium,"mvp,agents","Pause for user answers. Complexity: S."
1046,Sub-task,Task decomposition prompt + schema,,,131,5,High,"mvp,agents","Task graph output. Complexity: M."
1047,Sub-task,Dependency ordering + validation,,,131,5,High,"mvp,agents","Cycle detection, topo sort. Complexity: M."
1048,Sub-task,Tech-stack/scaffold selection,,,131,5,Medium,"mvp,agents","Choose framework/templates (NestJS). Complexity: M."
1049,Sub-task,Codebase context retrieval,,,132,5,Medium,"mvp,agents","Pull relevant files/conventions. Complexity: M."
1050,Sub-task,Ephemeral sandbox provisioning,,,140,8,Highest,"mvp,agents,sandbox","Container/microVM (Firecracker/Fargate). Complexity: L. High-risk spike candidate."
1051,Sub-task,Repo checkout + workspace mount,,,140,5,High,"mvp,agents,sandbox","Clone target repo/branch. Complexity: M."
1052,Sub-task,Egress controls + resource limits,,,140,5,High,"mvp,agents,sandbox","Network allowlist, CPU/mem caps. Complexity: M."
1053,Sub-task,File edit tools (read/write/patch),,,141,5,High,"mvp,agents","In sandbox. Complexity: M."
1054,Sub-task,Scaffolding/templates (NestJS CRUD exemplar),,,141,5,High,"mvp,agents","Generators per stack. Complexity: M."
1055,Sub-task,Diff generation + commit grouping,,,141,5,Medium,"mvp,agents","Logical commits per task. Complexity: M."
1056,Sub-task,Build/lint runner in sandbox,,,142,5,High,"mvp,agents","Language-aware commands. Complexity: M."
1057,Sub-task,Error feedback to fix loop,,,142,5,High,"mvp,agents","Parse errors, re-prompt, re-run. Complexity: M."
1058,Sub-task,Iteration budget + bail-out,,,142,2,Medium,"mvp,agents","Max attempts, escalate to human. Complexity: S."
1059,Sub-task,Branch creation + naming convention,,,143,2,Medium,"mvp,agents","helix/<run-id>/<slug>. Complexity: S."
1060,Sub-task,Commit message generation,,,143,2,Low,"mvp,agents","Conventional commits. Complexity: S."
1061,Sub-task,Diff fetch + context assembly,,,150,5,High,"mvp,agents","Changed hunks + surrounding code. Complexity: M."
1062,Sub-task,Multi-aspect review prompts,,,150,5,High,"mvp,agents","Correctness/security/style/perf. Complexity: M."
1063,Sub-task,Findings schema + severity model,,,150,2,Medium,"mvp,agents","Structured output. Complexity: S."
1064,Sub-task,Secret scan integration,,,151,5,Medium,"mvp,agents,security","gitleaks-style scan of the diff. Complexity: M."
1065,Sub-task,Inline + summary comment posting,,,152,5,High,"mvp,agents","Via GitHub MCP. Complexity: M."
1066,Sub-task,Status check / merge gate,,,152,2,High,"mvp,agents","Block on severity threshold. Complexity: S."
1067,Sub-task,Test generation prompts per framework,,,160,5,High,"mvp,agents","Jest/PyTest/etc. Complexity: M."
1068,Sub-task,Acceptance-criteria to test mapping,,,160,5,Medium,"mvp,agents","Traceability. Complexity: M."
1069,Sub-task,Test runner in sandbox,,,161,5,High,"mvp,agents","Framework detection + run. Complexity: M."
1070,Sub-task,Result + coverage parser,,,161,5,Medium,"mvp,agents","Normalize across frameworks. Complexity: M."
1071,Sub-task,Test report artifact,,,161,2,Medium,"mvp,agents","Store + surface in UI. Complexity: S."
1072,Sub-task,Failure diagnostics packaging,,,162,2,High,"mvp,agents","Failing tests + stack traces. Complexity: S."
1073,Sub-task,Re-invoke coding step + budget,,,162,5,High,"mvp,agents","Workflow loop with cap. Complexity: M."
1074,Sub-task,Dockerfile/buildpack detection + build,,,170,5,Medium,"mvp,agents,optional","Per stack. Complexity: M."
1075,Sub-task,Image push to ECR,,,170,2,Medium,"mvp,agents,optional","Tag + push. Complexity: S."
1076,Sub-task,IaC deploy (CDK) for ECS/Lambda,,,171,8,Medium,"mvp,agents,optional","Provision + deploy. Complexity: L."
1077,Sub-task,Env/config + secrets wiring,,,171,5,Medium,"mvp,agents,optional","Env vars from vault. Complexity: M."
1078,Sub-task,Approval policy model,,,180,5,High,"mvp,governance","Gate rules, approver roles, SLAs. Complexity: M."
1079,Sub-task,Policy admin API/UI,,,180,5,Medium,"mvp,governance","Manage gates. Complexity: M."
1080,Sub-task,Approval service + state machine,,,181,5,Highest,"mvp,governance","Pending/approved/rejected. Complexity: M."
1081,Sub-task,Decision API + workflow signal,,,181,5,Highest,"mvp,governance","Resume on decision. Complexity: M."
1082,Sub-task,Approval inbox UI,,,181,5,High,"mvp,governance","Context + actions. Complexity: M."
1083,Sub-task,Notification dispatch (Slack/email/in-app),,,182,5,High,"mvp,governance","Channels. Complexity: M."
1084,Sub-task,SLA timers + escalation,,,182,5,Medium,"mvp,governance","Reminders, backup approver. Complexity: M."
1085,Sub-task,Append-only audit store,,,183,5,High,"mvp,governance","Immutable + hash-chained. Complexity: M."
1086,Sub-task,Audit query + export API,,,183,2,Medium,"mvp,governance","Filter/export. Complexity: S."
1087,Sub-task,OTel SDK + collector,,,190,5,High,"mvp,observability","Instrument services. Complexity: M."
1088,Sub-task,Metrics/log/trace backend,,,190,5,Medium,"mvp,observability","Prometheus/Grafana/Tempo or managed. Complexity: M."
1089,Sub-task,Correlation IDs end-to-end,,,190,2,High,"mvp,observability","Propagate run/trace IDs. Complexity: S."
1090,Sub-task,Run analytics aggregation,,,191,5,Medium,"mvp,observability","Success/latency/cost rollups. Complexity: M."
1091,Sub-task,Dashboards,,,191,2,Low,"mvp,observability","Grafana/managed dashboards. Complexity: S."
1092,Sub-task,Auth (OIDC/OAuth) + session,,,200,5,Highest,"mvp,saas","e.g., Auth0/Cognito. Complexity: M."
1093,Sub-task,Org/tenant model + isolation,,,200,5,Highest,"mvp,saas","Row-level scoping. Complexity: M."
1094,Sub-task,RBAC roles + enforcement,,,200,5,High,"mvp,saas","Middleware/guards. Complexity: M."
1095,Sub-task,Request submission UI + API,,,201,5,Highest,"mvp,saas","Form + start workflow. Complexity: M."
1096,Sub-task,Run dashboard (live status + traces),,,201,8,Highest,"mvp,saas","SSE-driven UI. Complexity: L."
1097,Sub-task,Artifact views (PR/tests/deploy),,,201,5,High,"mvp,saas","Surface outputs. Complexity: M."
1098,Sub-task,Integration connect wizard,,,202,5,High,"mvp,saas","GitHub App install flow. Complexity: M."
1099,Sub-task,Connection health/test,,,202,2,Medium,"mvp,saas","Verify access. Complexity: S."
